t,port,msg
0.002017974853515625,OutputReady,0
0.002017974853515625,OutputReady,1
0.002017974853515625,OutputReady,2
0.002017974853515625,OutputReady,3
0.002017974853515625,OutputReady,4
0.002017974853515625,OutputReady,5
0.002017974853515625,OutputReady,6
0.002017974853515625,OutputReady,7
0.002017974853515625,OutputReady,8
0.002017974853515625,OutputReady,9
0.002017974853515625,OutputReady,10
0.002017974853515625,OutputReady,11
0.002017974853515625,OutputReady,12
0.002017974853515625,OutputReady,13
0.002017974853515625,OutputReady,14
0.002017974853515625,OutputReady,15
0.002017974853515625,OutputReady,16
0.002017974853515625,OutputReady,17
0.002017974853515625,OutputReady,18
0.002017974853515625,OutputReady,19
0.002017974853515625,OutputReady,20
0.002017974853515625,OutputReady,21
0.002017974853515625,OutputReady,22
0.002017974853515625,OutputReady,23
0.002017974853515625,OutputReady,24
0.002017974853515625,OutputReady,25
0.002017974853515625,OutputReady,26
0.002017974853515625,OutputReady,27
0.002017974853515625,OutputReady,28
0.002017974853515625,OutputReady,29
0.002017974853515625,OutputReady,30
0.002017974853515625,OutputReady,31
0.002017974853515625,OutputReady,32
0.002017974853515625,OutputReady,33
0.002017974853515625,OutputReady,34
0.002017974853515625,OutputReady,35
0.002017974853515625,OutputReady,36
0.002017974853515625,OutputReady,37
0.002017974853515625,OutputReady,38
0.002017974853515625,OutputReady,39
0.002017974853515625,OutputReady,40
0.002017974853515625,OutputReady,41
0.002017974853515625,OutputReady,42
0.002017974853515625,OutputReady,43
0.002017974853515625,OutputReady,44
0.002017974853515625,OutputReady,45
0.002017974853515625,OutputReady,46
0.002017974853515625,OutputReady,47
0.002017974853515625,OutputReady,48
0.002017974853515625,OutputReady,49
0.0029985904693603516,OutputReady,50
0.0029985904693603516,OutputReady,51
0.0029985904693603516,OutputReady,52
0.0029985904693603516,OutputReady,53
0.0029985904693603516,OutputReady,54
0.0029985904693603516,OutputReady,55
0.0029985904693603516,OutputReady,56
0.0029985904693603516,OutputReady,57
0.0029985904693603516,OutputReady,58
0.0029985904693603516,OutputReady,59
0.0029985904693603516,OutputReady,60
0.0029985904693603516,OutputReady,61
0.0029985904693603516,OutputReady,62
0.0029985904693603516,OutputReady,63
0.0029985904693603516,OutputReady,64
0.0029985904693603516,OutputReady,65
0.0029985904693603516,OutputReady,66
0.0029985904693603516,OutputReady,67
0.003999471664428711,OutputReady,68
0.003999471664428711,OutputReady,69
0.003999471664428711,OutputReady,70
0.003999471664428711,OutputReady,71
0.003999471664428711,OutputReady,72
0.003999471664428711,OutputReady,73
0.003999471664428711,OutputReady,74
0.003999471664428711,OutputReady,75
0.003999471664428711,OutputReady,76
0.003999471664428711,OutputReady,77
0.003999471664428711,OutputReady,78
0.003999471664428711,OutputReady,79
0.003999471664428711,OutputReady,80
0.003999471664428711,OutputReady,81
0.003999471664428711,OutputReady,82
0.003999471664428711,OutputReady,83
0.003999471664428711,OutputReady,84
0.003999471664428711,OutputReady,85
0.003999471664428711,OutputReady,86
0.003999471664428711,OutputReady,87
0.003999471664428711,OutputReady,88
0.003999471664428711,OutputReady,89
0.003999471664428711,OutputReady,90
0.003999471664428711,OutputReady,91
0.003999471664428711,OutputReady,92
0.003999471664428711,OutputReady,93
0.003999471664428711,OutputReady,94
0.003999471664428711,OutputReady,95
0.003999471664428711,OutputReady,96
0.003999471664428711,OutputReady,97
0.003999471664428711,OutputReady,98
0.003999471664428711,OutputReady,99
9.00593113899231,LeavingClient,Client::MqttClient; t_entered::3.494825839996338; t_exited::9.001503705978394
9.00593113899231,OutputReady,0
10.413140535354614,LeavingClient,Client::MqttClient; t_entered::4.8867011070251465; t_exited::10.396871566772461
10.413140535354614,OutputReady,1
11.885594129562378,LeavingClient,Client::MqttClient; t_entered::6.368574857711792; t_exited::11.87810730934143
11.885594129562378,OutputReady,2
13.418968677520752,LeavingClient,Client::MqttClient; t_entered::7.899630784988403; t_exited::13.412913084030151
13.418968677520752,OutputReady,3
14.908637523651123,LeavingClient,Client::MqttClient; t_entered::9.39112639427185; t_exited::14.9002525806427
14.908637523651123,OutputReady,4
16.406394243240356,LeavingClient,Client::MqttClient; t_entered::10.901682138442993; t_exited::16.40144443511963
16.406394243240356,OutputReady,5
17.940479516983032,LeavingClient,Client::MqttClient; t_entered::12.43023681640625; t_exited::17.9303982257843
17.940479516983032,OutputReady,6
19.47294020652771,LeavingClient,Client::MqttClient; t_entered::13.948810577392578; t_exited::19.458441972732544
19.47294020652771,OutputReady,7
20.965007066726685,LeavingClient,Client::MqttClient; t_entered::15.448399305343628; t_exited::20.95260453224182
20.965007066726685,OutputReady,8
22.458984375,LeavingClient,Client::MqttClient; t_entered::16.943137407302856; t_exited::22.453478813171387
22.458984375,OutputReady,9
23.981883764266968,LeavingClient,Client::MqttClient; t_entered::18.476768732070923; t_exited::23.977070093154907
23.981883764266968,OutputReady,10
25.474586963653564,LeavingClient,Client::MqttClient; t_entered::19.955839157104492; t_exited::25.467308044433594
25.474586963653564,OutputReady,11
26.989243030548096,LeavingClient,Client::MqttClient; t_entered::21.467000722885132; t_exited::26.975001573562622
26.989243030548096,OutputReady,12
28.49605417251587,LeavingClient,Client::MqttClient; t_entered::22.974798679351807; t_exited::28.486523628234863
28.49605417251587,OutputReady,13
29.999546766281128,LeavingClient,Client::MqttClient; t_entered::24.485150575637817; t_exited::29.991554975509644
29.999546766281128,OutputReady,14
